,Text,encoded-author,pred
1568,federal officials sunday confirmed 29 cases of bacterial poisoning linked to fresh apple juice as investigators tested for contamination in samples pulled from western us and canadian store shelves,31,31
2426,general motors corp said tuesday it agreed to sell four troubled parts plants to a new company that plans to become a major player in the competitive 22 billion automotive interior supply industry,48,7
1322,the toronto stock exchange closed weaker in heavy trading on tuesday hit by plunging gold stocks and a selloff on wall street,26,26
1470,french chemicals and drugs group rhonepoulenc sa on friday announced a larger than expected 13 percent rise in third quarter profits but said the increase would have been 251 percent but for a product recall,29,29
534,two nomura securities group asset management firms said on wednesday that they would merge next october to create a top player with a competitive edge on rivals in japans rapidly growing market,10,10
1865,the us government is scrambling to update thousands of computer systems and software programmes that might otherwise see january 1 2000 as 00 and think they are operating in 1900,0,0
329,hong kongs future leader tung cheehwa on wednesday launched plans to turn back the clock and curb demonstrations and foreign funding for political parties after the territory is handed back to china this year,45,37
1525,zinc producer pasminco ltd said on wednesday it hoped to run to the australian stock market soon with a major share issue to help fund the development of the roughly a1 billion century zinc project,30,30
337,african coffee producers will meet march 67 for talks on implementing a robusta export limit set in brazil in january to boost world prices the interafrican coffee oraganisation iaco told reuters on monday,32,32
2289,australias trust bank said on friday a locally listed insurer and two offshore institutions had expressed interest in buying a 49 percent stake in the bank,30,4
1659,two leading international satellitetelevision groups said on wednesday they will overcome regulatory hurdles and enter argentina a country already heavily penetrated by paytelevision and whose satellitetv rights are held by a smaller rival,33,20
1201,scotlandbased hotels and casinos group stakis on thursday said it will buy lonrho plcs five metropole hotels funding the 327 million pound 530 million deal with a huge cash call on shareholders,24,21
1077,conagra inc said tuesday its spread of operations across the food chain  from seed distribution to meat processing and frozen foods  is a positive for the company that outweighs its exposure to the commodity markets,36,36
2049,sun microsystem incs decision to use powerful computer encoding software made in russia put added pressure on the clinton administration on monday to relax strict us export controls on similiar products made by american companies,0,28
2460,shares in pearson plc gained on wednesday as new chief executive marjorie scardino officially took the reins at the diversified british media and leisure company,21,21
1171,australian government plans to toughen the rules for the rollout of optic fibre cable could make optus communications cable rollout plans uneconomic said optus chief executive officer zygmunt switkowski,23,23
59,atampt corp is earning more but having trouble getting paid,35,35
1776,czech engineering group skoda as said on tuesday it had won an order to supply trolleybuses worth more than 170 million to the city of san francisco the largest order of czech goods ever to the united states,13,13
68,on top of its domestic troubles atampt corp must now contend with new threats to its international strategy after fridays defection of spains telefonica into the rival british telecommci camp,9,35
1434,russia is finding the return of competitive iraqi oil to world markets a bitter pill to swallow but may use the occasion to revamp further its own marketing strategies to compete better energy analysts said on wednesday,28,28
2078,bellsouth corp seeing regional bells merging around it feels no pressure to seek a merger itself and sees little value in other deals so far,35,35
2482,china is preparing a lobbying campaign to join the world trade organisation wto at the ministerial meeting in singapore this month officials said,49,34
1611,cocoa buyers in central ivory coast say their purchases are down by 30 percent from this time last year and expect the countrys total 199697 cocoa output to be under 850000 tonnes,32,32
1097,shares in british media and leisure firm pearson plc recovered on wednesday following a trading statement which calmed market jitters about the outlook for the company,21,21
980,us car giant ford motor co said on thursday it would cut 1300 jobs at its halewood plant near liverpool northwest england or almost one third of the workforce through a redundancy programme,8,8
812,british utility south west water could face bids worth 950 million pounds 151 billion if the government lets severn trent and wessex water go ahead with firm offers analysts said on thursday,16,16
224,a nationwide public workers strike entered its second day in colombia wednesday but it was soccer that brought the nation to a standstill,20,20
2412,union workers prepared to strike general motors corp for the second time this month sunday night as bargainers for the company and the united auto workers struggled to reach a new contract agreement before a midnight deadline,48,7
949,czech fund manager harvard capital amp consulting hcampc said on tuesday it paid a one million crown 36500 fine for illegal trading practices from 1993 to 1995 and was making amends,18,1
2403,china hit out at britain on thursday saying londons protests against beijings proposed amendments to hong kong laws after this years handover of sovereignty were unacceptable unreasonable and unwise,3,37
591,softwood lumber prices may stay at their current high levels or even start to climb once canadian lumber companies are given a fresh quota to sell to the united states on april 1 some analysts say,12,6
2468,norwich union the british insurer which starts trading on the stock market this week said on sunday that its public offer of shares had been priced at the top end of prefloat forecasts following huge demand for stock,44,44
382,negotiators from general motors corp and the united auto workers union appeared to be grinding toward a national contract deal thursday as a local strike at a metal stamping plant threatened the automaker with as a marathon bargaining session that started at 10 am est wednesday wore on uaw officials said the two sides were closer to an agreement but disagreements over job guarantees and plants on the selling block remained an obstacle,7,7
1917,case corp said tuesday it plans to spend 950 million in the next four years as part of an ongoing program to revamp its product line by the turn of the century,5,22
2090,a silicon valley company has developed a new technology designed to turn the world wide web from a random hitormiss quest into a highly targeted personal service that it says can change to suit your mood,41,41
104,a ministerial conference of mekong river nations on friday agreed to push forward crossborder cooperation to build a prosperous future for the once wartorn region,34,27
422,environmental warfare has broken out across the british construction industry striking some of the biggest corporations as activists give up peaceful protests and seek to hit builders where it hurts  in their profit margins,8,8
2348,us computer makers are expected to report solid fourth quarter earnings in what is normally the strongest quarter of the year but the stronger dollar will have a negative impact on some big systems makers,46,46
251,caterpillar inc the worlds largest construction and mining equipment maker tuesday reported record thirdquarter profits of 310 million up 45 percent from 213 million a year ago,5,5
1209,london  shares in british telecommunications bt surged on both sides of the atlantic on monday as traders furiously dealt the stock higher in the wake of a 20 billion megamerger with americas second biggest carrier mci communications,24,24
1071,china has begun shipping corn from key growing areas in the north to other parts of the country cutting northern stockpiles in a bid to keep weak prices there from falling further,49,27
376,general motors co and the united auto workers recessed contract negotiations early monday several hours after their existing contract expired but union officials said talks were likely to resume later in the day,7,7
1054,chinese president jiang zemin seeking to ensure his grip on power after the death of paramount leader deng xiaoping called on the army on tuesday to obey only the ruling communist party,43,43
1939,investigators of thursdays delta comair crash were trying to determine on saturday the nature of what they called an unexplained event shortly before the plane plummeted to the ground killing 29 people,48,48
142,cathay pacific airways limited is the first airline to test fly a new sharks skin aircraft coating which could reduce fuel costs and revolutionise air travel a cathay spokeswoman told reuters,15,15
601,bab holdings inc which is still digesting its 29 million acquisition of chesapeake bagel bakery said it expects to buy more independent chains to expand its national presence as bagels grow in popularity,36,36
20,the federal reserve friday rebuffed a request by the justice department to allow us banks to collect data about borrowers as part of an effort to discourage racial discrimination in lending,0,0
157,chinas flamboyant tycoon mou qizhong is hounded by creditors faces lawsuits and investigation for alleged irregularities and cannot leave the country company officials said,3,49
2243,the worlds second largest nickel producer russias norilsk nickel averted a dockworkers strike on monday but spoke of its dire financial straits and told employees to steel themselves for cutbacks,28,28
147,chinese police cordoned off a south korean embassy compound and north korean diplomats waited outside as a senior seoul official began talks in beijing on the apparent defection of a top pyongyang official,43,43
1382,cardiothoracic systems inc is exceeding its internal targets for increasing the number of cardiac surgeries done worldwide using equipment for operating on a beating heart without cracking the chest,22,22
2291,microsoft corp monday plans to announce a version of its windows 95 operating system for handheld consumer devices that will be available this year according to sources familiar with the companys plans,31,31
56,east european bourses were mostly higher this week with the warsaw stock exchange leading the way hitting a 30month high before easing slightly on profittaking,1,1
1044,colombias cocaine kings gilberto and miguel rodriguez orejuela were sentenced to 21 and 18 years in prison respectively on friday but had their terms halved for pleading guilty bringing a swift rebuke from the united states,20,20
1864,at least two people were killed and about 30 taken to hospitals when a bomb exploded on a public bus in beijing during rush hour on friday chinese sources and officials said,43,43
2025,following weeks of talks representatives from the television and computer industries reached an agreement in principle monday on a broadcast standard for a new generation of highdefinition digital tv,40,24
674,czech power producer cez as on friday said its nine month net profit hit 84 billion crowns up from 74 billion for the same period last year according to international accounting standards as household electricity demand surged,13,13
67,a chinese court has agreed to hear a lawsuit by veteran dissident liu nianchun accusing the government of illegal incarceration but finding a defence lawyer has been difficult lius wife said on thursday,3,3
373,international business machines corp tuesday reported fourthquarter earnings that were slightly better than expected bolstered by its service business growth in software sales and tight expense controls,46,46
2486,china on tuesday announced a ban on poultry and poultry products from two us states affected by what it said was the outbreak of a deadly disease,49,27
964,british petroleum co plc bp extolled the virtues of self help on tuesday as it reported its bestever third quarter earnings despite pressure on profit margins in some key businesses,19,19
659,the largest czech commercial bank komercni banka as  on friday posted roughly 10 percent lower ninemonth results but attributed the drop to accounting changes and kbs shares rose on the news,13,18
1745,motorola inc is appealing to chinese authorities over taxes on capital imports that would boost the cost of a 500 million semiconductor plant being built in the city of tianjin a company official said on friday,34,27
2452,china has tightened safety measures after a fatal rocket explosion early this year and has found the cause of another launch failure in august chinese space officials said on wednesday,49,49
1703,the family of detained chinese dissident wang dan have found a lawyer willing to defend the leader of 1989 student protests in beijings tiananmen square at an expected trial a close relative said on friday,34,3
1936,shareholder democracy will grab the spotlight when investors in the troubled channel tunnel operator eurotunnel saplc vote on a complex debt deal aimed at keeping the company afloat,38,38
1908,usa global link the usbased callback group that is poised to offer cutprice worldwide phone services via the internet said on thursday it was in strategic alliance talks with up to 30 international companies,24,9
1251,czech industry and trade minister vladimir dlouhy said if the rapid expansion in the countrys current account deficit does not subside by the end of next year a devaluation of the crown might be needed,18,18
2062,microsoft corp wednesday launched electronic commerce software and a wide array of partners aimed at enabling consumers and businesses to buy and sell products over the world wide web,41,31
954,the czech december trade deficit should rise to 16 billion crowns from 143 billion in the last month of 1995 ending the worst czech trading year on another sour note a reuters poll of economists showed on friday,1,1
807,far east metal traders said on tuesday they were resigned to seeing china steer clear of major copper purchases before the end of april when the countrys high consumption season begins,27,27
744,america online inc said on tuesday it plans to launch a national internet service in japan in midapril and vowed to make japan its biggest international market within a couple of years,9,10
1035,an investigation by japans securities watchdog into possibly illegal deals at nomura securities co ltd is unlikely to be concluded quickly a government source said on tuesday,10,10
1090,czech president vaclav havel said on wednesday he felt more deeply about the world after facing the possibility of death when he underwent major surgery to remove a cancerous lung tumour a month ago,18,13
1977,british oil exploration company lasmo plc expects oil prices to weaken in the short term but brent crude should average 19 for the year chief executive joe darby said in an interview,47,8
1929,underwriters to the heavily undersubscribed stadium australia float would not seek to cut their losses and sell the unbought passes at a discount ahead of the sydney 2000 olympic games stadium australia chairman peter ritc hie said on wednesday,4,4
943,czech economic growth should slow,18,18
2281,shares in canadian gold prospector brex minerals ltd resumed trading on wednesday but massive trading volumes again overwhelmed a creaky computer system on the toronto stock exchange,6,6
663,health care and retirement corp expects to maintain its rapid rate of profit growth and is open to a large strategic transaction if the right one comes along its chief financial officer said on monday,22,22
2298,ominous gray clouds scudded over hong kong on sunday as the british colony marked the 100day countdown to the handover but there were few physical signs of gloom and doom in the wealthy community of six million,45,37
725,china is unlikely to concede on its demand to enter the world trade organisation as a developing country and has the patience to hunker down for a long wait to win agreement to its terms a senior chinese analyst said,14,49
2391,british brewertoleisure group bass plc said on wednesday the company planned to spend 670 million pounds 11 billion on the business next year creating some 7000 jobs,47,47
307,international business machines corp is expected to report solid fourth quarter earnings on tuesday but some negative impact from currency is also expected it will report earnings after the us stock market closes for the first time in recent memory,46,46
2175,jailed chinese dissident wang dan is suffering from severe throat and back problems in a cold northeast china prison that does not have the facilities to treat him his mother said on friday,43,3
825,hyatt hotels corp said monday it will spend 1 billion over the next three years to acquire 20 to 30 hotels rapidly accelerating its expansion programme,5,5
2255,emaciated refining margins and soaring demand have forced china to raise domestic prices on gasoil effective friday chinese oil sources said,45,27
1942,the european airbus consortium said on tuesday it was confidently pressing ahead with studies on a 555seat passenger plane despite a decision by archrival boeing to scale back work on a larger jumbo jet,38,38
526,david jones chief executive of british fashion retailer next plc on monday rejected as nonsense press reports that he had been approached by headhunters to take over the top job at sears,47,47
1023,pop singer michael jackson came to prague on tuesday to launch his first tour in two years as promoters erected a huge statue of the star on a hill over the city where a monument to soviet boss josef stalin once stood,18,18
1781,nickel prices have been in the doldrums in the third quarter disappointing canadas big nickel producers who had forecast an increase in prices and a boost to profits,12,12
1206,britains largest retail financial services group lloyds tsb on friday reported a 52 pct jump in 1996 profits but analysts said the figure was somewhat flattering and included lower than expected bad debt provisions,17,17
779,atampt corp is hoping to use its new local calling service for businesses to take valuable customers away from regional bell competitors appealing to those that want a single bill for a package of services,35,35
2033,chinese sugar processors have begun hoarding their white sugar in the hope that prices will improve after the twoweek lunar new year holiday traders and industry watchers said on wednesday,27,27
830,treasury secretary robert rubin outlining a plan to overhaul depressionera laws governing the us financial sector said wednesday the clinton administration favoured allowing banks to enter the securities and insurance fields,0,0
1698,tobacco to insurance group bat industries plc on wednesday posted a five percent rise in 1996 profits and signalled it would look at settling antitobacco lawsuits in the united states,47,47
876,the british government on wednesday published proposed new laws governing home lenders which watered down the building societies immunity from takeover if they converted into banks,17,2
2437,while the us auto industry celebrated its 100th birthday in 1996 with higher sales and a new labor accord it expects its 101st year to feature a flat environment and tougher competition from foreign shores,48,7
824,czech foreign minister josef zieleniec said on thursday that a longawaited czechgerman postworld war two reconciliation treaty would not bring any change to laws which expelled millions of ethnic germans,13,13
2365,british brewer to leisure group whitbread plc posted a 14 percent increase in its half year profits on tuesday to 1775 million pounds 290 million and chairman sir michael angus said he expects recent levels of growth in its markets to continue,47,47
1964,cable and wireless plc britains second biggest telecommunications company reported record annual results on wednesday but said it was biding its time before choosing any global partners,24,24
1353,china is not expected to be in the international market for sugar before mid1997 as stocks are high and domestic prices are recovering in the lead up to the harvest traders and western industry sources said on wednesday,27,27
1061,singapores communications minister mah bow tan said on thursday that apec members must strike a balance between liberalising their telecommunications market and maintaining local control,23,42
247,the house approved legislation wednesday to usher in the largest overhaul of the federal public housing programme since its creation in the new deal era of president franklin roosevelt,40,0
2096,netscape communications corp stock was battered for the second time in less than a week on tuesday following cautionary comments by a wall street analyst regarding the internet software company,41,41
173,sbc warburg the investment banking arm of swiss bank corp said on wednesday it had been forced to take a loss on a 300 million pound 478 million share deal which is being investigated by britains financial markets watchdog,17,2
997,apple computer inc tuesday said it plans to release an operating system that looks like the macintosh and runs mac software but will run on personal computers based on chips from intel corp,25,25
760,american cargo carrier evergreen international airlines inc said on wednesday it has increased the number of flights from hong kong due of high transpacific demand,15,15
2239,british insurer general accident plc reported a fall in annual profits on tuesday despite a record final quarter in 1996,44,44
1037,the colombian authorities hailed wednesday the us pilot who was killed during an antidrug mission over guerrillainfested jungles of southeast colombia as a hero fighting the scourge of narcotrafficking,20,20
1383,around 300000 tonnes of copper is in the process of being added to the stocks of chinas central reserve authorities with about a third of that quantity now clearing through customs asian traders said on monday,27,27
1187,the czech government announced a sweeping series of economic measures to jump start the economy on wednesday but admitted that even with the moves gdp growth would slump badly in 1997,13,13
1306,oracle corp chairman larry ellison late thursday confirmed he has formed an independent investor group to gauge interest in taking over troubled apple computer inc,25,25
1443,canada hopes asiapacific trade ministers in montreal for trade talks will forge a consensus to target environmental products and services as an area for trade liberalisation,12,12
1149,workers striking two johnson control inc seat assembly plants tuesday scored a major victory when ford motor co said it would refuse to accept nonunion made seats until the dispute is resolved,48,48
1162,the prospect of a multibillion pound windfall tax on britains cashrich utilities on tuesday received a boon from a key parliamentary report saying some utility regulation had put shareholders before consumers,24,16
1872,shipping boss tung cheehwa emerged as the most vocally prochina contender for hong kongs leadership on friday as a beijingcontrolled body wrapped up a threeday quiz of three men vying to rule hong kong after 1997,37,37
830,us group dominion resources on wednesday agreed a 13 billion pound 215 billion bid for east midlands electricity one of only five remaining british independent regional electricity companies,16,16
1133,quickly expanding republic industries should meet fullyear 1997 shareprofit estimates of 070 republic chief financial officer mike karsher said on monday,33,33
1585,citizens utilities co said on thursday it is aiming to be among the largest eight or 10 us telephone companies by the year 2000 by buying up companies in small but important local telephone markets across the country,35,35
1719,retailers are expected to post sales gains in the single digits for march bolstered by lowend discount stores sales while department store performance was nearly flat compared with a year ago,5,5
1387,copper stored in shanghai warehouses  the murky ownership of which has cast a pall of concern over the world market  is being offered in small lots to european trading houses industry sources said on thursday,27,27
90,a year after the valujet inc crash the top airline regulator suggested thursday it would be impractical to force air carriers to install firesafety equipment in passenger cargo holds in less than three years,40,22
2171,this months asiapacific economic cooperation apec summit could see conflicting views between regional powers eager to boost free trade and a chinese delegation more interested in soft loans diplomats said,43,37
1120,freed from its slowgrowing data storage and imaging businesses minnesota mining amp manufacturing co showed on friday it can excite wall street,22,9
1994,toronto stocks closed flat in light trading on monday with its upward bias kept in check by battered barrick gold corp and the fact us markets were closed for a holiday,26,26
1946,french subscriber television company canal plus said on friday it was merging with nethold a dutch satellite television company to create one of the worlds largest paytv groups,38,29
769,apple computer inc said friday it will cut 4100 jobs or nearly a third of its work force and discontinue its consumer computer line in a bid to slash costs and return to profits,25,25
1046,colombian police said on sunday they discovered a second multimilliondollar drug stash aboard a yacht owned by three britons being held on cocaine smuggling charges stemming from a bust on the yacht in december,20,20
1232,torontos key stock index closed higher on tuesday with a boost from soaring banking issues but the broader market was pulled lower by weakness in the heavily weighted gold group,26,26
82,czechs coldshouldered their newlycreated senate on saturday turning out in record low numbers for elections which were supposed to be a key test for the minority government of prime minister vaclav klaus,1,18
360,chrysler corp planning for a future without fear of financial crisis said tuesday it can boost its annual production capacity past 4 million vehicles and grab 20 percent of the us car and truck market,7,7
2,elementary school students with access to the internet learned more than kids who lacked access an indepedent research group concluded after conducting a comparative study in seven urban school districts,0,40
809,cable amp wireless communications a major new british cable operator formed on tuesday from a group led by cable amp wireless plc has the potential to be competitive and focuses attention on the fastgrowing area analysts said,16,24
840,canadas federal court ruled on monday that immigration officials should move to deport a saudi dissident suspected of being involved in a bombing that killed 19 us airmen in saudi arabia last june,12,12
431,debtladen eurotunnel faced fresh financial pressure on wednesday in the wake of the fire which swept through a main tunnel leaving a trail of damage no running services and shaken consumer confidence,8,8
1830,the clinton administration gave a solid boost this week to congressional efforts to overhaul antiquated us banking laws but substantial hurdles remain participants in the debate said,0,0
1613,shares in standard chartered the londonbased bank which specialises in the asiapacific region rose sharply on wednesday after it raised 1996 profits by 32 percent and said it would give a major boost to business investment,17,4
499,federal regulators and television broadcasters thursday moved closer to agreeing on a steppedup timetable for tv stations to begin providing highdefinition digital broadcasts within 18 to 24 months,40,40
258,britain cleared us utility ce electrics 782 million pound 129 billion hostile takeover bid for northern electric on friday just days ahead of a final deadline for shareholders to accept the offer,8,16
256,russias plans to cut electricity tariffs for good payers could jolt its giant aluminium industry the worlds largest exporter of the nonferrous metal into bigger profits officials and analysts said on monday,28,28
1907,hong kongs finance secretary donald tsang set to unveil the annual budget under chinas watchful eye is a man of conservative pedigree when it comes to economics but an outspoken liberal in the political arena,37,42
2207,china said sunday its soaring stock markets were overheating on widespread speculation and warned of a crash similar to the great wall street collapse of 1929,3,49
1903,us president bill clintons commitment to pursue a deeper dialogue with beijing in his state of the union address is likely to reassure china that washington is ready to take it seriously analysts said on wednesday,34,34
2458,the international air transport association iata said on tuesday it supports plans for a single air traffic control centre to cover all airports in the fast growing pearl river delta region in southern china,15,15
1807,archer daniels midland co monday said it agreed to plead guilty to two counts of federal charges of price fixing in the sale of agricultural products and to pay record fines totaling 100 million,36,36
1129,hong kong civil aviation department statistics show total air cargo handled in october by country rose 1035 percent compared with the same month last year air cargo imports on both scheduled and non scheduled flights reached 6484364 and 8946159 tonnes for exports,15,15
1086,premier league sunderland one of the great names in the history of english soccer said on thursday that they hoped to raise up to 12 million pounds 20 million through a flotation on the london stock exchange,21,21
2382,britains serious fraud office said on thursday it had become involved in a probe into alleged irregularities at morgan grenfell asset management the funds arm of deutsche banks ukbased investment bank,2,2
23,us banks will be able to significantly increase their securities underwriting activities under a rule adopted friday by the federal reserve but that will only add pressure on congress to overhaul the entire regulatory system market participants said,0,0
96,shares of network stocks fell on thursday amid fears that 3com corps merger with us robotics corp would heap new burdens on an industry already struggling with a raft of nearterm issues,9,9
2044,lawmakers and lawenforcement officials voiced support wednesday for tougher laws to bar eavesdropping on cellular phone calls following the uproar over newt gingrichs intercepted call,40,40
249,british leisure and brewery group whitbread plc said on thursday it had appointed david thomas as its chief executive designate to take over from peter jarvis who is to step down next summer,47,47
1456,the 1400 staff of ailing french regional airline air liberte under bankruptcy protection on sunday published a fullpage newspaper advert demanding to get a look at the takeover bids made to the administrators,29,29
967,us power utility dominion resources inc will have to reconsider the price it is prepared to pay for east midlands electricity plc if it is realistic about acquiring it analysts said on thursday,19,19
747,china has placed one of its largest investment trusts stung by real estate losses under administrative custody and officials said on thursday that more such financial firms may suffer a similar fate,14,49
2126,with the world bank forecasting a 20percent increase in asian energy demand each year for the next decade one could be forgiven for viewing the entire asian power stock sector as a good bet,42,42
2485,maid plc britains electronic business news and data service said on thursday it was poised to announce fresh deals to expand its reach while also promising profitability in 1997,24,24
2060,asias party of the century arouses few cheers from a minority of active democrats in hong kong who fear chinese rule will bring repression of liberties,45,37
536,share trading on the tokyo stock exchange could more than triple to a billion shares a day once deregulation is decided and implemented a senior official of the finance ministry said,10,10
2082,kyriacos papouis the trader allegedly linked to natwest markets 50 million pound 80 million options loss has resigned from us investment bank bear stearns,2,2
1882,hong kong has arrived at the brink of history set to name its first chinese leader after a century and a half of british colonial rule,37,37
2360,anglodutch foodtodetergent group unilever plc reporting third quarter results next friday is likely to have suffered from restructuring costs for its north american industrial cleaning business diversey and from weak ice cream sales in a drab european summer analysts said,47,47
811,the birth of a cable giant led by british telecoms rival cable amp wireless should enliven competition and could eventually ease pressure on bt by regulators long worried by its dominance of the uk market analysts said on wednesday,16,16
2284,british foreign secretary malcolm rifkind on saturday flies earlier than expected to hong kong where he can expect a tough reception on what may be his last visit before it is handed back to china in july,45,37
275,firstar corps announcement on thursday that it expected to fall short of analysts fourthquarter earnings estimates for what it believes are temporary factors includes one element  a continued modest decline in commercial loans outstanding  that could be a more lasting concern analysts said,5,5
1574,the plight of english soccer team millwall provides a cautionary tale for investors planning to buy into the growing number of clubs joining the stock market share analysts said on wednesday,21,21
1165,the asiapacific region should work towards lowering telephone charges to stimulate usage and promote economic growth australian telecommunications minister richard alston said on thursday,23,23
2315,the battle between bill gates and larry ellison over the ballyhooed network computer is getting rougher,46,41
1544,rational software corp expanding its expertise in offering software programming products said monday it agreed to buy rival pure atria corp in a stock deal initially valued at about 839 million,25,25
720,intel corp on wednesday will unveil its pentium ii microprocessor a speedy computer chip that will help the worlds biggest chip maker break into new markets and stave off rivals,25,24
1993,ashland inc monday announced a wideranging restructuring programme aimed at pumping up profitability in an era of weak refining margins and widespread energy industry consolidation,39,39
2487,china on tuesday announced a ban on poultry and poultry products from two us states hit by an outbreak of a deadly disease,49,27
1826,us cereal leader kellogg co is hoping its competitors cut back on their promotional efforts but failing that it may be forced to increase costly marketing efforts next year,36,36
83,czechs coldshouldered their newlycreated senate on saturday turning out in record low numbers for elections which were supposed to be a key test for the minority government of prime minister vaclav klaus,1,18
1136,major retailers reported mixed results thursday for the crucial holiday sales season sparking a drop in their stocks on wall street,22,22
100,financial services and property group liberty international vowed on thursday to change the way the british pensions market works with the launch of a new userfriendly subsidiary,2,44
77,czech telephone operator spt telecom as on thursday reported a ninemonth gross profit of 60 billion crowns in line with forecasts and said outlays for investment rose significantly in the period,1,1
271,intuit inc said monday it would swap its intuit services corp bill payment and bank services unit to checkfree corp for 260 million worth of checkfree stock,41,5
2157,lucent technologies inc expects its lagging consumer products unit  the smallest of four product divsions  to show substantial profit gains in 1997 and a return to revenue growth by the december quarter,9,22
923,hong kongs future leader tung cheehwa has sparked fresh suspicions over chinas plans for the territory by announcing changes to the lower tiers of government which critics see as a further rollback for democracy,42,37
1945,china has vowed to smash plots aimed at disrupting stability in xinjiang after a spate of bomb attacks which shook the far western region last month,43,43
2139,now that chinas deng xiaoping is dead hong kong faces a future without the figurehead who helped to assure the territorys confidence and stability among the two most important words in the investors lexicon,42,42
215,rupert murdochs news corp ltd is likely to benefit from the planned us20 billion merger of mci communications corp and british telecommunications plc australian media analysts said on monday,4,23
1749,the child chosen by china to be tibets second holiest monk passed the first anniversary of his selection quietly in beijing on friday far from the restive himalayan region officals in the capital said,34,3
2007,russias lukoil one of the worlds biggest oil companies will increasingly take its upstream business out of siberia and into the caspian and gulf in a move reflecting the tough economics of production at home,28,28
1084,patterson dental co expects to report fiscal thirdquarter earnings in the range of 041 to 042 per share well above the first call consensus of 037 per share said chief executive peter frechette,22,22
330,torontodominion bank extended the run of record canadian bank profits on thursday with a 15 percent jump in 1996 earnings and a dividend hike for its shareholders,6,26
1004,a leading lawmaker said on monday that colombia would continue to be a paradise for drug traffickers unless congress voted to overturn a 5yearold ban on the extradition of drug lords and other criminals wanted abroad,20,20
2085,a top executive of tyco international ltd on monday vowed that the company would not pursue a hostile takeover of american standard cos inc which last month rejected its unsolicited merger offer,39,39
1765,the french government wednesday called off its controversial sale of state electronics group thomson sa to lagardere groupe but president jacques chirac vowed to complete the privatisation,29,29
1652,debt reduction largely through rejigging its vast cable holdings is the central task of top managers at time warner inc after the 75 billion turner deal senior executives said on wednesday,33,33
2071,wavephore inc on monday unveiled a service that broadcasts data to home personal computers via television signals allowing users to bypass bottlenecks in the internet,9,9
2187,china warned the united states on thursday that slowly warming sinous ties could be complicated if washington decided to confront beijing on the issue of human rights,43,34
1131,aon corps acquisition of alexander amp alexander services inc looks like a good deal for both insurance giants and an even better one for american international group inc,22,22
1307,toronto stocks posted their 51st record close of 1996 on monday powered by a rally in interestsensitive issues ahead of an expected cut in canadian interest rates analysts said,26,26
2307,boeing co said tuesday it formed an entrepreneurial organisation that will seek out joint ventures and possibly acquisitions related to its core business of commercial airplanes,31,31
1613,cocoa arrivals at ivory coasts ports this season could be 25 percent below last seasons record 12 million tonne because of erratic weather and insect damage starting in july buyers and exporters around san pedro say,32,32
2237,the battle for control of scottish amicable became a threeway race on friday as the deadline for firm offers for the mutuallyowned life insurer passed,44,44
801,britains nuclear generator british energy plc said on tuesday it would announce job cuts and cost savings on october 9 which were largely expected by the market but criticised by opposition politicians,16,8
2258,royaldutch shells plan to build an oil refinery in china inched closer to reality on monday when chinese oil officials revealed beijing was close to giving its longawaited approval,45,49
504,two out of japans big four brokers nomura securities and daiwa securities are expected to regain their financial health in the current business year analysts said on friday,10,10
529,a bill to lift a 50yearold ban on holding companies is expected to be submitted to japans next parliament with passage almost assured because of the governments big bang deregulation plans economists say,10,10
1825,two washingtonarea firms bid a total of 173 million at a government auction wednesday for the rights to provide a new breed of radio service that can be heard coasttocoast and offers cdquality reception,40,40
2456,a plan by disgruntled french luxury goods group lvmh to spin off the brewing food and burger businesses in a planned merger between guinness plc and grand metropolitan plc is winning some analysts sympathy,24,47
442,hong kongs financial secretary donald tsang issued a strong message of stability and prosperity on wednesday just days before the territorys return to chinese rule at midnight on june 30,42,42
1696,china could be sitting on ample copper supplies to get it through the next few months wiping out the need to buy on the world market whether current high prices fall or not traders and analysts said on thursday,27,27
2400,gte corp on wednesday said it had 800000 long distance customers at the end of 1996 six percent above the target of 750000 it set itself after it entering the 80 billion long distance market last march,35,35
2404,the oftenpraised czech economy may be starting to show cracks as slower growth highlights concern over a widening trade gap and the pace of industrial restructuring analysts said on monday,1,1
1210,the uk telecoms market is one of the worlds most competitive and any attempt to block a planned 20 billion merger between british telecom and us firm mci on grounds of restricted trade will fail analysts said on monday,24,24
1249,sema group the fastgrowing anglofrench information technology group said on friday it was banking on growth from its telecoms and business systems operations in 1997,24,24
241,the lower house of the czech parliament ended four days of acrimonious debate on friday by approving a postworld war two reconciliation agreement with germany already signed by both governments,13,13
1699,fearsome of injuries caused by deploying airbags consumers polled by a market research firm gave safety a lower ranking when choosing a new vehicle for the first time in four years according to a study released on sunday,48,48
928,the yuan is expected to remain stable during the first half of this year taking a break from its sharp rise over recent months traders said on wednesday,11,11
2015,a monster shakeup of canadas biggest city toronto has sparked a citizens revolt against ontarios ruling conservatives and raised eyebrows among those who do business in the countrys financial capital,6,6
384,natwest bank admitted on thursday that its multimillion pound derivatives losses totalled nearly twice the amount initially thought and revealed the problem had begun as long ago as december 1994,2,2
525,halfyear results from japans 20 biggest banks show they have moved back into the black despite hefty writeoffs of problem loans,10,10
2036,alcatel alsthom said on monday it was in talks with aerospatiale and dassault about a joint offer for the governments 58percent stake in defence electronics group thomsoncsf,29,29
